"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-01,,quarterly,51067,1.5,-0.9,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-02,,quarterly,51067,1.5,-0.9,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-03,,quarterly,51067,1.5,-0.9,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-04,,quarterly,51617,1.2,1.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-05,,quarterly,51617,1.2,1.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-06,,quarterly,51617,1.2,1.1,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-07,,quarterly,52066,0.4,0.9,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-08,,quarterly,52066,0.4,0.9,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-09,,quarterly,52066,0.4,0.9,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-10,,quarterly,51367,-0.3,-1.3,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-11,,quarterly,51367,-0.3,-1.3,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1995-12,,quarterly,51367,-0.3,-1.3,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-01,,quarterly,52116,2.1,1.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-02,,quarterly,52116,2.1,1.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-03,,quarterly,52116,2.1,1.5,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-04,,quarterly,52166,1.1,0.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-05,,quarterly,52166,1.1,0.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-06,,quarterly,52166,1.1,0.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-07,,quarterly,54215,4.1,3.9,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-08,,quarterly,54215,4.1,3.9,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-09,,quarterly,54215,4.1,3.9,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-10,,quarterly,55164,7.4,1.8,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-11,,quarterly,55164,7.4,1.8,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1996-12,,quarterly,55164,7.4,1.8,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-01,,quarterly,55914,7.3,1.4,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-02,,quarterly,55914,7.3,1.4,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-03,,quarterly,55914,7.3,1.4,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-04,,quarterly,57063,9.4,2.1,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-05,,quarterly,57063,9.4,2.1,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-06,,quarterly,57063,9.4,2.1,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-07,,quarterly,59961,10.6,5.1,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-08,,quarterly,59961,10.6,5.1,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-09,,quarterly,59961,10.6,5.1,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,1997-10,,quarterly,59511,7.9,-0.7,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-10-01
